region,turnout_pc,reg_voters,turnout_change,party_one,seats_one,MS_one,party_two,seats_two,MS_two,party_three,seats_three,MS_three,party_four,seats_four
North Wales,46,487784,+2.90,Conservative,2,Mark IsherwoodSam Rowlands,Labour,1,Carolyn Thomas,Plaid Cymru,1,Llyr Gruffydd,Abolish the Welsh Assembly Party,0
Mid and West Wales,53,451034,+2.20,Labour,2,Eluned MorganJoyce Watson,Plaid Cymru,1,Cefin Campbell,Liberal Democrat,1,Jane Dodds,Conservative,0
South Wales Central,48,531912,+1.40,Conservative,2,Andrew RT DaviesJoel James,Plaid Cymru,2,Rhys ab OwenHeledd Fychan,Labour,0,Green,0,
South Wales East,42,498551,-0.20,Conservative,2,Laura Anne JonesNatasha Asghar,Plaid Cymru,2,Delyth JewellPeredur Owen Griffiths,Labour,0,Abolish the Welsh Assembly Party,0,
South Wales West,44,417676,+0.50,Conservative,2,Thomas GiffardAltaf Hussain,Plaid Cymru,2,Sioned WilliamsLuke Fletcher,Labour,0,Green,0,
